Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_Socket,1,Arduino_Nano_Socket,
"C1, C2, C5, C6",0805,4,22u,
"C11, C4, C7",CP_Elec_6.3x7.7,3,220u,
"C12, C3, C8",0805,3,100n,
"D1, D2, D3",D_SMA,3,SS54,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo 1,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo 2,
"J3, J5",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Pin,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Battery connector,
L1,L_Sunlord_SWPA8040S,1,4.7uH > 1.5 A,
L2,L_Sunlord_SWPA8040S,1,4.7 uH > 2A,
"R1, R2, R4, R6",0805,4,10k,
"R3, R5",0603,2,75k,
"U1, U2",SOT-23-6,2,MT3608,
